ID,Mcore,err_Mcore,Tcore,Size
1,0.76,0.38,35.0,1566
2,0.28,0.14,35.0,1518
1,0.45,0.22,20.0,1325
1,0.50,0.25,35.0,1612
2,0.52,0.26,35.0,1551
3,0.15,0.07,35.0,1275
4,0.93,0.47,35.0,1511
5,2.47,1.23,35.0,2340
6,0.18,0.09,35.0,1377
7,0.34,0.17,35.0,1788
1,0.66,0.33,35.0,1416
2,0.62,0.31,35.0,1513
3,2.26,1.13,35.0,1791
1,0.55,0.28,20.0,1602
2,1.81,0.90,20.0,2003
3,2.15,1.08,20.0,2116
1,0.65,0.33,63.0,2192
2,0.24,0.12,63.0,1811
3,3.41,1.71,63.0,2863
4,0.21,0.11,63.0,2084
5,0.39,0.19,63.0,2371
6,0.20,0.10,63.0,1925
7,0.34,0.17,63.0,1901
8,0.16,0.08,63.0,1773
9,0.13,0.06,63.0,1651
10,0.16,0.08,63.0,1901
11,0.19,0.10,63.0,1958
12,0.22,0.11,63.0,1883
13,10.13,5.06,63.0,2349
14,0.81,0.40,63.0,2035
15,0.37,0.18,63.0,2104
1,0.37,0.18,35.0,2178
2,0.21,0.10,35.0,1577
1,0.24,0.12,20.0,1676
1,0.69,0.34,20.0,1509
2,0.24,0.12,20.0,1267
1,7.65,3.82,44.0,2535
2,4.08,2.04,44.0,2049
3,0.25,0.12,44.0,1662
4,0.19,0.10,44.0,1889
5,0.17,0.09,44.0,1916
6,0.46,0.23,44.0,1492
1,0.15,0.07,35.0,1096
2,0.66,0.33,35.0,1366
1,0.49,0.25,20.0,1495
2,1.63,0.81,20.0,1503
3,1.76,0.88,20.0,1345
1,1.16,0.58,20.0,1119
2,1.38,0.69,20.0,1207
3,0.52,0.26,20.0,1270
4,0.28,0.14,20.0,1014
5,0.35,0.17,20.0,1021
6,0.33,0.17,20.0,986
7,0.35,0.17,20.0,1068
8,1.41,0.70,20.0,1210
1,0.28,0.14,20.0,1451
2,0.71,0.36,20.0,1566
3,0.59,0.30,20.0,1439
1,1.65,0.83,35.0,1432
2,0.19,0.10,35.0,1239
3,0.34,0.17,35.0,1292
4,0.35,0.18,35.0,1268
5,0.39,0.20,35.0,1298
6,0.22,0.11,35.0,1211
7,0.27,0.13,35.0,1207
1,0.60,0.30,35.0,1468
2,0.40,0.20,35.0,1223
3,0.54,0.27,35.0,1348
4,0.50,0.25,35.0,1456
5,0.36,0.18,35.0,1244
6,0.29,0.15,35.0,1144
7,0.52,0.26,35.0,1423
8,0.42,0.21,35.0,1237
9,7.26,3.63,35.0,1317
10,1.63,0.82,35.0,1797
11,4.25,2.13,35.0,1662
12,4.71,2.36,35.0,1455
13,1.87,0.93,35.0,1753
1,0.47,0.24,20.0,1248
2,0.32,0.16,20.0,1122
1,2.30,1.15,35.0,1201
2,0.19,0.10,35.0,1029
3,0.22,0.11,35.0,1118
4,1.05,0.53,35.0,1276
1,0.46,0.23,36.0,1306
2,3.21,1.61,36.0,1465
3,0.44,0.22,36.0,1811
4,0.73,0.37,36.0,1744
5,0.27,0.14,36.0,1584
6,2.81,1.40,36.0,1286
1,0.34,0.17,35.0,1223
2,0.28,0.14,35.0,1357
3,0.27,0.14,35.0,1231
4,0.30,0.15,35.0,1539
5,1.07,0.54,35.0,1826
6,0.44,0.22,35.0,1529
7,0.58,0.29,35.0,1410
8,1.95,0.97,35.0,1429
9,0.41,0.20,35.0,1491
10,3.88,1.94,35.0,1472
11,7.72,3.86,35.0,1648
12,4.41,2.21,35.0,2400
1,1.08,0.54,20.0,1260
2,1.23,0.62,20.0,1309
1,1.57,0.78,36.0,1766
2,0.21,0.11,36.0,1452
3,0.65,0.33,36.0,2025
4,0.67,0.33,36.0,1650
5,0.30,0.15,36.0,1730
6,0.45,0.23,36.0,1642
7,0.79,0.40,36.0,1668
8,1.39,0.69,36.0,1723
9,0.26,0.13,36.0,1544
10,1.61,0.80,36.0,1789
11,1.10,0.55,36.0,1657
1,0.20,0.10,47.0,1355
2,0.28,0.14,47.0,1804
3,1.06,0.53,47.0,1541
4,4.44,2.22,47.0,1660
5,0.76,0.38,47.0,1862
6,0.27,0.14,47.0,1873
7,0.18,0.09,47.0,1502
8,0.15,0.08,47.0,1217
9,0.22,0.11,47.0,1555
10,0.82,0.41,47.0,1875
11,1.01,0.51,47.0,1558
12,0.98,0.49,47.0,1518
13,2.25,1.13,47.0,2111
14,0.54,0.27,47.0,1663
1,0.26,0.13,20.0,1620
1,4.17,2.09,20.0,1304
2,0.22,0.11,20.0,1201
3,2.04,1.02,20.0,1421
1,0.44,0.22,20.0,1249
2,0.90,0.45,20.0,1711
3,0.53,0.27,20.0,1489
4,1.41,0.71,20.0,1422
1,0.90,0.45,20.0,2153
2,0.46,0.23,20.0,1837
1,0.08,0.04,65.0,1720
2,2.43,1.22,65.0,2273
3,0.43,0.22,65.0,2204
4,0.60,0.30,65.0,1963
5,0.10,0.05,65.0,1746
6,0.10,0.05,65.0,1883
7,0.12,0.06,65.0,1791
8,0.14,0.07,65.0,1783
9,0.21,0.11,65.0,2135
1,0.14,0.07,37.0,1336
2,0.16,0.08,37.0,1678
3,0.64,0.32,37.0,1687
4,3.56,1.78,37.0,1904
5,2.50,1.25,37.0,1791
6,2.03,1.02,37.0,1800
7,0.16,0.08,37.0,1542
8,0.22,0.11,37.0,1861
9,0.28,0.14,37.0,1839
10,5.67,2.84,37.0,1923
1,1.23,0.62,20.0,1278
2,0.93,0.46,20.0,1206
3,1.95,0.97,20.0,1650
4,0.72,0.36,20.0,1825
1,1.98,0.99,20.0,1675
2,0.96,0.48,20.0,1675
3,2.59,1.30,20.0,1698
1,6.26,3.13,20.0,1591
2,3.56,1.78,20.0,1638
3,1.67,0.83,20.0,1533
4,0.32,0.16,20.0,1291
5,0.24,0.12,20.0,1228
1,0.69,0.34,20.0,2024
2,6.16,3.08,20.0,2091
3,3.67,1.83,20.0,2455
4,0.43,0.22,20.0,1934
5,1.81,0.91,20.0,2097
6,0.54,0.27,20.0,1934
1,0.52,0.26,35.0,1748
2,2.10,1.05,35.0,1940
3,0.73,0.36,35.0,2160
1,1.96,0.98,20.0,1238
2,0.62,0.31,20.0,1174
1,1.74,0.87,35.0,1532
1,2.31,1.16,35.0,1248
2,1.11,0.55,35.0,1252
3,0.18,0.09,35.0,1133
4,0.12,0.06,35.0,1123
5,0.75,0.37,35.0,1322
6,0.72,0.36,35.0,1183
7,0.48,0.24,35.0,1231
8,0.16,0.08,35.0,1073
9,0.39,0.20,35.0,1202
10,0.22,0.11,35.0,1367
11,0.21,0.11,35.0,1185
12,0.50,0.25,35.0,1524
13,0.16,0.08,35.0,1136
1,0.77,0.38,20.0,1313
2,1.03,0.51,20.0,1577
3,0.77,0.39,20.0,1368
1,2.33,1.16,35.0,1607
2,1.28,0.64,35.0,1503
3,0.35,0.18,35.0,1487
4,2.06,1.03,35.0,1662
5,0.85,0.42,35.0,1656
1,0.66,0.33,20.0,1522
2,2.32,1.16,20.0,1302
1,0.58,0.29,35.0,2484
2,0.76,0.38,35.0,2054
3,0.42,0.21,35.0,1935
4,0.33,0.16,35.0,2195
5,3.91,1.95,35.0,2110
6,4.35,2.17,35.0,2302
1,0.31,0.16,35.0,2084
2,1.42,0.71,35.0,2073
3,1.58,0.79,35.0,2028
4,0.15,0.08,35.0,2082
5,0.32,0.16,35.0,1751
6,1.09,0.54,35.0,1885
7,0.56,0.28,35.0,2740
8,0.14,0.07,35.0,2167
9,0.18,0.09,35.0,1662
10,0.51,0.25,35.0,2055
11,0.29,0.14,35.0,2467
12,0.19,0.10,35.0,2372
1,0.34,0.17,35.0,1620
2,0.52,0.26,35.0,1574
3,1.45,0.73,35.0,1737
4,3.08,1.54,35.0,1741
5,0.24,0.12,35.0,1539
6,1.02,0.51,35.0,2401
7,0.84,0.42,35.0,1941
8,0.24,0.12,35.0,1607
9,0.59,0.29,35.0,2016
10,0.51,0.26,35.0,1880
11,0.60,0.30,35.0,2426
1,1.49,0.75,38.0,1581
2,2.58,1.29,38.0,2022
3,0.97,0.49,38.0,1463
4,0.76,0.38,38.0,1479
5,0.63,0.31,38.0,1468
6,0.90,0.45,38.0,1468
7,2.33,1.16,38.0,1508
8,17.61,8.81,38.0,2162
9,14.52,7.26,38.0,1699
1,0.48,0.24,20.0,1373
2,0.57,0.28,20.0,1977
3,0.50,0.25,20.0,1850
1,0.17,0.09,49.0,1412
2,0.25,0.13,49.0,1651
3,0.46,0.23,49.0,1443
4,0.39,0.19,49.0,1353
5,0.27,0.14,49.0,1242
1,0.64,0.32,20.0,1957
2,0.46,0.23,20.0,2113
3,2.23,1.11,20.0,2290
4,3.41,1.70,20.0,1961
5,0.62,0.31,20.0,2148
6,1.51,0.75,20.0,2016
7,0.81,0.41,20.0,2215
1,1.41,0.71,35.0,1830
2,13.92,6.96,35.0,1639
3,0.25,0.13,35.0,1427
1,0.69,0.34,35.0,1345
1,0.43,0.22,35.0,1386
2,0.30,0.15,35.0,1302
3,2.54,1.27,35.0,1615
4,0.42,0.21,35.0,1446
5,1.19,0.59,35.0,1819
1,1.72,0.86,35.0,1835
2,0.20,0.10,35.0,1390
3,0.15,0.08,35.0,1252
4,0.25,0.13,35.0,1409
1,0.40,0.20,20.0,1670
1,0.38,0.19,35.0,1295
2,0.29,0.15,35.0,1272
3,3.44,1.72,35.0,1443
4,0.41,0.20,35.0,1388
5,0.35,0.18,35.0,1328
6,6.28,3.14,35.0,1554
7,2.51,1.26,35.0,1468
8,0.29,0.14,35.0,1351
9,0.73,0.37,35.0,1722
1,0.62,0.31,35.0,1508
1,0.29,0.14,39.0,1476
2,0.32,0.16,39.0,1669
3,3.36,1.68,39.0,2206
4,0.22,0.11,39.0,1571
5,1.37,0.68,39.0,1630
1,1.61,0.81,35.0,1763
1,0.61,0.30,47.0,1326
2,4.73,2.36,47.0,1654
3,0.58,0.29,47.0,1396
4,0.84,0.42,47.0,1650
5,4.46,2.23,47.0,1778
6,0.66,0.33,47.0,1584
7,1.17,0.58,47.0,1560
8,1.04,0.52,47.0,1405
9,1.21,0.60,47.0,1677
10,0.76,0.38,47.0,1333
11,2.86,1.43,47.0,1683
12,0.95,0.48,47.0,1774
13,0.59,0.29,47.0,1289
14,3.55,1.77,47.0,1748
15,0.54,0.27,47.0,1333
16,11.42,5.71,47.0,1663
17,0.56,0.28,47.0,1299
18,7.74,3.87,47.0,2229
19,28.37,14.19,47.0,1875
20,8.29,4.15,47.0,1668
21,2.63,1.32,47.0,1876
22,9.98,4.99,47.0,2181
23,1.54,0.77,47.0,1339
24,2.15,1.08,47.0,1570
25,2.19,1.10,47.0,1565
26,0.61,0.31,47.0,1277
27,1.76,0.88,47.0,1720
1,1.20,0.60,35.0,1370
2,0.78,0.39,35.0,1320
3,3.46,1.73,35.0,1564
4,0.50,0.25,35.0,1302
5,0.34,0.17,35.0,1473
6,0.47,0.24,35.0,1750
7,0.52,0.26,35.0,1398
8,3.77,1.88,35.0,1773
9,0.67,0.34,35.0,1404
1,0.50,0.25,47.0,1662
2,1.05,0.53,47.0,1550
3,0.26,0.13,47.0,1569
4,4.97,2.49,47.0,2237
5,0.43,0.22,47.0,1831
1,5.69,2.85,20.0,1608
2,0.67,0.34,20.0,1463
1,0.34,0.17,20.0,1234
2,0.63,0.32,20.0,1321
1,0.48,0.24,20.0,1398
2,0.33,0.17,20.0,1647
3,0.27,0.13,20.0,1644
4,2.21,1.11,20.0,1621
5,2.33,1.17,20.0,1691
6,1.11,0.56,20.0,1749
7,3.94,1.97,20.0,1533
8,0.39,0.19,20.0,2101
9,0.70,0.35,20.0,1970
10,0.26,0.13,20.0,1815
11,0.58,0.29,20.0,1795
1,0.62,0.31,20.0,1333
2,0.39,0.20,20.0,1368
3,0.34,0.17,20.0,1377
1,0.79,0.40,20.0,1513
2,0.61,0.31,20.0,1359
1,0.09,0.05,35.0,1602
2,0.07,0.04,35.0,1519
