ID,Mcore,err_Mcore,Tcore,Size
J271.5978-21.6196,3.30,0.10,100.0,3044
J271.5796-21.6250,8.70,0.70,35.0,2804
J271.5808-21.6237,5.70,0.20,29.0,4682
J271.5785-21.6222,4.90,0.20,25.0,3268
J271.5980-21.6199,3.40,0.20,32.0,3788
J271.5800-21.6252,8.30,1.10,34.0,3652
J271.5954-21.6204,1.00,0.10,26.0,2732
J271.5985-21.6198,2.10,0.30,30.0,3132
J271.5774-21.6271,4.90,0.40,32.0,4748
J271.5791-21.6248,3.80,0.80,32.0,3634
J271.5797-21.6209,1.70,0.10,21.0,3552
J271.5782-21.6223,1.90,0.20,25.0,2910
J271.5798-21.6240,3.00,0.40,30.0,3788
J271.5786-21.6271,2.60,0.40,32.0,4014
J271.5938-21.6183,1.30,0.10,20.0,3792
J271.5798-21.6219,1.80,0.20,23.0,3050
J271.5916-21.6191,0.80,0.10,19.0,5496
J271.5978-21.6191,1.30,0.20,30.0,4536
J271.5980-21.6202,1.60,0.20,30.0,4850
J272.6134-19.9299,0.50,0.10,29.0,5136
J272.6159-19.9284,0.70,0.20,33.0,5198
J272.6217-19.9291,6.80,0.40,37.0,3206
J272.6107-19.9271,3.40,0.10,24.0,3004
J272.6218-19.9280,1.50,0.10,100.0,2902
J272.6243-19.9230,2.80,0.10,23.0,3234
J272.6185-19.9302,8.20,0.90,44.0,2846
J272.6130-19.9319,2.20,0.10,28.0,3136
J272.6242-19.9229,2.50,0.10,23.0,3120
J272.6213-19.9296,7.10,0.60,40.0,3870
J272.6207-19.9293,4.70,0.60,41.0,3086
J272.6304-19.9224,3.30,0.20,20.0,2862
J272.6234-19.9273,3.10,0.20,30.0,3572
J272.6212-19.9292,1.40,0.20,100.0,2756
J272.6231-19.9281,1.80,0.10,31.0,3432
J272.6163-19.9282,4.50,0.20,34.0,6952
J272.6223-19.9301,4.90,0.50,36.0,3918
J272.6123-19.9309,1.40,0.10,28.0,3802
J272.6209-19.9292,3.20,0.60,41.0,3204
J272.6176-19.9309,1.80,0.20,37.0,3644
J272.6160-19.9240,2.70,0.10,26.0,6294
J272.6158-19.9246,1.30,0.10,27.0,4896
J272.6178-19.9303,2.20,0.60,39.0,2918
J272.6223-19.9232,2.90,0.20,24.0,7362
J272.6244-19.9277,1.50,0.20,27.0,3570
J272.6206-19.9284,1.80,0.30,37.0,4306
J272.6276-19.9229,0.70,0.10,21.0,3306
J272.6164-19.9287,1.10,0.10,34.0,3946
J272.6140-19.9339,0.60,0.10,26.0,3404
J272.6158-19.9323,0.90,0.10,32.0,5562
J272.6173-19.9301,1.60,0.30,38.0,4550
J272.6165-19.9304,0.70,0.10,35.0,3930
J272.6188-19.9307,1.00,0.30,42.0,3230
J272.6122-19.9212,1.80,0.20,22.0,7310
J272.6190-19.9284,2.10,0.50,39.0,4056
J272.6193-19.9275,0.90,0.10,35.0,4130
J272.6160-19.9308,0.70,0.10,34.0,4358
J272.6237-19.9273,0.50,0.10,29.0,3192
J272.6157-19.9314,0.60,0.10,33.0,3868
J272.6247-19.9229,0.70,0.10,23.0,4260
J272.6228-19.9296,0.90,0.20,33.0,4538
J272.6145-19.9241,0.90,0.20,26.0,4432
J272.6201-19.9309,0.00,0.00,0.0,4558
J273.5493-17.9257,6.20,0.10,100.0,3122
J273.5574-17.9225,5.30,0.10,100.0,3898
J273.5444-17.9375,3.10,0.10,28.0,2850
J273.5482-17.9458,5.90,0.20,26.0,2956
J273.5531-17.9208,4.40,0.10,33.0,3004
J273.5486-17.9262,3.60,0.10,100.0,4250
J273.5557-17.9151,2.40,0.10,28.0,3404
J273.5542-17.9142,1.90,0.10,26.0,2932
J273.5548-17.9279,3.70,0.50,100.0,3632
J273.5445-17.9303,2.30,0.10,30.0,3386
J273.5484-17.9412,1.70,0.10,26.0,3860
J273.5527-17.9286,1.20,0.10,39.0,2772
J273.5562-17.9213,3.20,0.20,35.0,3744
J273.5569-17.9233,1.90,0.20,36.0,3434
J273.5661-17.9234,1.50,0.10,31.0,3116
J273.5464-17.9286,2.80,0.30,30.0,3488
J273.5690-17.9390,1.10,0.10,25.0,3678
J273.5690-17.9247,1.40,0.10,28.0,3384
J273.5420-17.9327,2.70,0.20,28.0,3582
J273.5562-17.9348,1.80,0.10,33.0,4480
J273.5517-17.9190,1.70,0.10,30.0,4188
J273.5576-17.9312,2.90,0.30,37.0,3718
J273.5677-17.9205,1.50,0.10,28.0,4168
J273.5470-17.9334,1.20,0.10,29.0,3378
J273.5582-17.9252,2.90,0.20,38.0,4384
J273.5465-17.9277,2.00,0.30,30.0,3572
