ID,Mcore,err_Mcore,Tcore,Size
1,0.09,0.05,11.5,5362
2,0.09,0.05,11.5,4744
3,0.09,0.05,11.5,5981
4,0.11,0.05,11.5,5156
5,0.11,0.05,11.5,4125
6,0.10,0.05,11.5,3919
7,0.08,0.04,11.5,3712
8,0.67,0.23,9.6,7013
9,0.25,0.13,11.5,9694
10,2.13,0.60,9.8,15676
11,0.15,0.08,12.9,8869
12,0.08,0.04,11.5,4125
13,0.05,0.02,11.5,3093
14,0.67,0.44,9.8,8869
15,0.18,0.09,11.5,4950
16,0.22,0.24,9.6,3093
17,0.03,0.01,11.5,2268
18,0.44,0.22,11.5,18151
19,0.09,0.04,11.5,7219
20,0.30,0.15,11.5,13613
21,0.32,0.04,12.7,8869
22,0.06,0.03,11.5,5156
23,0.11,0.06,13.1,8044
24,0.13,0.08,10.9,7219
25,0.16,0.08,11.5,7838
26,0.10,0.04,11.7,8663
27,0.84,0.30,8.9,5569
28,0.08,0.04,16.9,6600
29,0.15,0.03,12.6,5362
30,0.57,0.28,11.5,6394
33,0.51,0.08,11.6,6600
34,0.10,0.05,11.5,4125
35,0.09,0.05,11.5,6600
36,0.18,0.09,12.5,8250
37,0.12,0.07,12.8,10932
38,1.01,0.51,11.5,24751
39,1.97,0.71,11.4,24751
40,0.10,0.05,11.5,4744
41,0.28,0.14,11.5,12788
42,0.11,0.07,14.1,7631
43,0.10,0.05,11.5,4744
44,0.06,0.05,13.7,7219
45,0.08,0.02,15.8,8663
46,0.13,0.08,13.2,7838
47,0.12,0.05,12.5,8250
48,0.61,0.31,11.5,14232
49,0.15,0.09,10.3,3712
50,0.47,0.23,9.2,4125
51,0.21,0.11,11.5,5775
52,0.17,0.09,11.5,9694
53,0.33,0.05,13.5,8044
54,0.15,0.12,12.3,6806
56,0.37,0.32,9.1,5362
57,0.18,0.12,10.6,5569
58,0.09,0.04,11.8,4125
59,0.14,0.11,11.8,7013
60,0.44,0.22,11.5,6187
61,1.96,0.87,8.7,10932
62,0.23,0.05,13.1,13613
63,1.95,0.85,10.4,7631
64,0.09,0.08,12.0,4537
65,0.62,0.34,10.1,7219
66,0.04,0.01,25.5,3712
67,0.08,0.05,11.8,4331
69,0.06,0.03,11.5,3506
70,0.15,0.07,13.0,5569
71,0.13,0.07,14.5,8663
72,0.80,0.26,10.9,11550
73,0.52,0.13,12.4,14644
74,0.21,0.11,11.5,7838
75,0.41,0.10,11.3,9900
76,0.50,0.25,11.5,17119
78,0.07,0.04,16.9,5981
80,0.60,0.20,11.6,10519
81,0.15,0.08,11.5,5362
82,0.24,0.09,14.7,8044
83,0.09,0.05,11.5,4744
84,4.55,1.06,10.2,14851
85,2.00,0.30,12.9,7425
86,0.10,0.05,11.5,3919
87,1.96,0.53,8.9,8250
88,0.09,0.04,11.5,4125
89,0.20,0.10,11.5,4537
90,0.80,0.41,13.3,8663
91,0.10,0.05,11.5,7631
93,0.41,0.17,10.9,8250
94,0.94,0.30,12.0,12582
95,1.27,0.51,11.9,18563
96,0.76,0.26,12.8,10932
97,0.08,0.04,11.5,3919
98,0.21,0.10,11.5,4331
99,0.06,0.03,11.5,3712
100,0.67,0.33,11.5,15469
101,0.16,0.08,11.5,7838
102,0.09,0.05,11.5,3506
103,0.16,0.08,12.5,9900
104,0.31,0.15,11.5,7838
105,0.26,0.11,10.7,9900
106,0.11,0.05,11.5,5156
107,0.08,0.04,11.5,3712
108,2.61,0.47,9.6,10725
109,0.06,0.03,11.5,3712
110,1.60,0.35,9.0,7838
111,0.19,0.14,10.0,3919
112,0.32,0.20,10.3,6187
113,0.11,0.06,11.5,5362
114,0.16,0.08,11.5,8663
115,0.94,0.47,11.5,10313
116,0.91,0.33,9.3,7219
117,0.32,0.16,11.5,8456
118,0.17,0.08,11.5,6187
119,0.06,0.03,11.5,3093
120,5.81,1.60,8.6,17945
121,1.03,0.44,8.1,7838
122,0.13,0.06,11.5,2681
123,10.15,1.54,8.4,12788
124,0.18,0.09,11.4,7425
125,0.08,0.04,11.5,3712
126,0.13,0.07,11.5,8663
127,0.16,0.08,11.5,5362
128,1.84,0.60,7.5,7631
129,2.12,0.45,10.1,11963
130,0.08,0.04,11.5,4744
131,0.40,0.11,11.5,4125
132,5.00,1.05,8.9,14438
133,0.17,0.12,14.2,9075
134,0.34,0.20,10.6,8456
136,0.94,0.28,11.6,12375
137,0.39,0.07,13.3,17738
138,0.07,0.02,16.5,3919
139,0.41,0.15,15.9,14851
140,0.30,0.19,10.5,7013
141,1.42,0.64,8.5,6187
142,0.63,0.30,10.4,5981
143,0.11,0.06,11.5,6600
144,0.93,0.38,13.4,17738
145,0.13,0.07,12.2,3919
146,0.39,0.17,11.0,6806
148,0.08,0.05,13.8,3300
149,0.19,0.09,11.8,5981
