ID,Mcore,err_Mcore,Tcore,Size
0,5.24,2.62,20.1,3603
1,0.62,0.31,20.1,1411
2,1.86,0.93,20.1,2587
3,0.81,0.40,20.1,1956
4,0.18,0.09,20.1,893
5,0.13,0.07,20.1,789
6,1.65,0.83,20.1,3276
7,1.13,0.56,20.1,2584
8,0.12,0.06,20.1,864
9,0.41,0.20,20.1,1740
10,0.15,0.07,20.1,952
11,1.94,0.97,20.1,4830
12,0.28,0.14,20.1,1599
13,1.27,0.63,20.1,4024
14,0.35,0.18,20.1,2040
15,0.21,0.10,20.1,1379
16,0.21,0.10,20.1,1492
17,0.41,0.20,20.1,2355
18,0.71,0.35,20.1,3164
19,0.08,0.04,20.1,961
20,0.24,0.12,20.1,2569
21,0.31,0.16,20.1,2409
22,0.06,0.03,20.1,1168
23,0.26,0.13,20.1,2737
24,0.14,0.07,20.1,2101
25,0.07,0.03,20.1,1323
26,5.16,2.58,12.8,3749
27,1.67,0.83,12.8,3135
28,0.86,0.43,12.8,2375
29,0.32,0.16,12.8,1292
30,0.87,0.44,12.8,3070
31,0.33,0.16,12.8,1408
32,0.61,0.30,12.8,2603
33,0.44,0.22,12.8,1916
34,1.21,0.60,12.8,5070
35,0.46,0.23,12.8,2487
36,0.60,0.30,12.8,3668
37,0.39,0.20,12.8,2535
38,0.32,0.16,12.8,2397
47,9.02,4.51,20.7,6469
48,8.27,4.14,20.7,9895
49,1.04,0.52,20.7,2773
50,0.66,0.33,20.7,2343
51,1.50,0.75,20.7,3972
52,0.50,0.25,20.7,2283
53,1.12,0.56,20.7,3353
54,2.58,1.29,20.7,5854
55,0.28,0.14,20.7,1649
56,0.64,0.32,20.7,2941
57,0.43,0.22,20.7,3702
58,0.45,0.23,20.7,3082
59,0.43,0.22,20.7,3199
60,0.65,0.33,20.7,4366
61,0.16,0.08,20.7,1984
62,4.41,2.20,13.8,2788
63,3.02,1.51,13.8,2631
64,6.21,3.11,13.8,6326
65,2.40,1.20,13.8,4439
66,3.80,1.90,13.8,7984
67,1.52,0.76,13.8,3800
68,2.84,1.42,13.8,5668
69,2.03,1.02,13.8,5689
70,0.45,0.23,13.8,2240
71,0.32,0.16,13.8,2028
72,0.76,0.38,13.8,3572
73,0.46,0.23,13.8,2768
74,0.64,0.32,13.8,3517
75,0.43,0.21,13.8,3179
76,0.45,0.23,13.8,2972
77,0.33,0.17,13.8,2765
78,10.04,5.02,18.0,4239
79,11.38,5.69,18.0,9415
80,9.84,4.92,18.0,10855
81,2.35,1.18,18.0,3702
82,0.71,0.36,18.0,2143
83,1.80,0.90,18.0,4954
84,0.57,0.28,18.0,2864
85,0.52,0.26,18.0,2972
86,1.67,0.83,18.0,6280
87,0.90,0.45,18.0,4014
88,0.48,0.24,18.0,3402
89,0.28,0.14,18.0,2936
106,6.12,3.06,13.1,1843
107,5.44,2.72,13.1,1791
108,4.28,2.14,13.1,2126
109,13.06,6.53,13.1,5900
110,2.86,1.43,13.1,2580
111,4.46,2.23,13.1,3999
112,3.80,1.90,13.1,4003
113,1.22,0.61,13.1,2162
114,2.90,1.45,13.1,4089
115,2.91,1.46,13.1,5282
116,1.00,0.50,13.1,2535
117,2.15,1.08,13.1,4341
118,0.59,0.30,13.1,2066
119,1.21,0.60,13.1,3607
120,1.30,0.65,13.1,3518
121,0.54,0.27,13.1,2078
122,0.53,0.26,13.1,2039
123,1.01,0.50,13.1,3133
124,0.73,0.36,13.1,2908
125,1.74,0.87,13.1,5169
126,2.22,1.11,13.1,5607
127,1.31,0.66,13.1,5679
128,0.59,0.29,13.1,3739
129,19.03,9.51,12.9,5465
130,15.36,7.68,12.9,5844
131,2.20,1.10,12.9,2413
132,1.31,0.66,12.9,1870
133,1.05,0.53,12.9,1744
134,0.67,0.33,12.9,1470
135,2.79,1.39,12.9,3673
136,2.79,1.40,12.9,3805
137,0.96,0.48,12.9,2145
138,0.71,0.35,12.9,1960
139,1.65,0.82,12.9,3378
140,0.96,0.48,12.9,2377
141,0.64,0.32,12.9,1876
142,0.96,0.48,12.9,2478
143,1.42,0.71,12.9,3026
144,1.54,0.77,12.9,4287
145,0.74,0.37,12.9,2783
146,0.43,0.22,12.9,2683
147,5.61,2.81,10.9,4094
148,5.34,2.67,10.9,3876
149,2.99,1.50,10.9,3076
150,3.89,1.94,10.9,3383
151,7.12,3.56,10.9,5496
152,8.45,4.22,10.9,7591
153,1.20,0.60,10.9,2026
154,1.70,0.85,10.9,2739
155,1.43,0.71,10.9,3197
156,1.43,0.72,10.9,2807
157,3.04,1.52,10.9,4257
158,2.78,1.39,10.9,4435
