ID,Mcore,err_Mcore,Tcore,Size
cloud~e_1,0.69,0.34,,1200
cloud~e_2,0.68,0.34,,1320
cloud~e_3,6.12,3.06,,2250
cloud~e_4,0.12,0.06,138.3,1500
cloud~e_5,3.93,1.97,94.4,3950
cloud~e_6,0.79,0.40,,1150
cloud~e_7,0.05,0.03,95.4,1030
cloud~e_8,15.29,7.64,165.4,8160
cloud~e_9,2.53,1.26,,1820
cloud~e_10,1.72,0.86,,1600
cloud~e_11,1.09,0.55,,1610
cloud~e_12,0.44,0.22,,1240
cloud~e_13,0.18,0.09,131.4,1800
cloud~e_14,0.12,0.06,95.6,1080
cloud~e_15,0.49,0.24,,1090
cloud~e_16,1.66,0.83,111.4,2650
cloud~e_17,30.58,15.29,,3880
cloud~e_18,0.70,0.35,,1380
cloud~e_19,0.83,0.41,,1320
cloud~e_20,4.54,2.27,,1950
cloud~e_21,0.89,0.45,,1330
cloud~e_22,2.92,1.46,,2330
cloud~e_23,0.40,0.20,,1150
cloud~e_24,4.83,2.42,,2910
cloud~e_25,1.15,0.57,,1810
cloud~e_26,0.52,0.26,,1250
cloud~e_27,0.49,0.24,,1170
cloud~e_28,0.93,0.47,,1740
cloud~e_29,2.14,1.07,,1640
cloud~e_31,1.81,0.91,,1370
cloud~e_32,14.51,7.25,,2310
cloud~e_33,,,,1310
cloud~e_34,1.62,0.81,,1340
cloud~e_35,4.22,2.11,,1990
cloud~e_37,0.62,0.31,,1520
cloud~e_38,0.55,0.28,,1380
cloud~e_39,4.22,2.11,,2560
cloud~e_40,1.36,0.68,,1440
cloud~e_41,0.51,0.26,,1290
cloud~e_42,0.42,0.21,,1270
cloud~e_43,0.55,0.28,,1200
cloud~e_44,0.57,0.28,164.2,2080
cloud~e_45,1.26,0.63,,2100
cloud~e_46,0.69,0.34,,1290
cloud~e_47,3.01,1.50,,1940
cloud~e_48,0.93,0.47,,1410
cloud~e_49,1.37,0.69,,1630
cloud~e_50,0.98,0.49,,1780
cloud~e_51,2.24,1.12,,1940
cloud~e_52,0.88,0.44,,1150
cloud~e_53,2.32,1.16,,2060
cloud~e_54,9.83,4.92,78.4,4320
cloud~e_55,1.97,0.98,107.7,1810
cloud~e_56,12.11,6.05,,2560
cloud~e_57,0.38,0.19,62.9,1630
cloud~e_58,0.46,0.23,,1120
cloud~e_59,1.33,0.67,,1830
cloud~e_60,5.05,2.52,,1690
cloud~e_61,2.44,1.22,,2000
cloud~e_62,0.28,0.14,147.2,1940
cloud~e_63,0.97,0.48,,1700
cloud~e_64,0.81,0.41,,1590
cloud~e_65,0.05,0.03,121.0,1120
cloud~e_66,3.55,1.77,,2760
cloud~e_67,0.16,0.08,88.9,1270
cloud~e_68,3.22,1.61,99.7,3770
cloud~e_69,0.49,0.24,,1270
cloud~e_70,0.81,0.41,98.6,1780
cloud~e_71,0.40,0.20,,1110
cloud~e_72,7.89,3.94,,3480
cloud~e_73,1.35,0.68,104.3,1920
cloud~e_74,1.30,0.65,,1690
cloud~e_75,1.19,0.59,,1880
cloud~e_76,1.13,0.56,,1700
cloud~e_77,0.78,0.39,,1320
cloud~e_78,1.17,0.58,,1850
cloud~e_79,5.73,2.87,,2500
cloud~e_80,4.78,2.39,,2670
cloud~e_81,1.41,0.70,,2060
cloud~e_82,0.90,0.45,,1440
cloud~e_83,1.21,0.60,,1810
cloud~e_84,2.23,1.11,,2430
cloud~e_85,0.44,0.22,,1120
cloud~e_86,0.86,0.43,,1330
cloud~e_87,1.62,0.81,,1520
cloud~e_88,4.78,2.39,,2640
cloud~e_89,0.74,0.37,,1120
Sgr~C_1,4.79,2.40,125.1,4620
Sgr~C_3,0.84,0.42,,1290
Sgr~C_4,0.31,0.15,113.5,2330
Sgr~C_5,0.50,0.25,43.5,1680
Sgr~C_6,0.77,0.39,,1370
Sgr~C_9,0.90,0.45,,1440
Sgr~C_10,0.54,0.27,,1150
Sgr~C_11,0.37,0.18,282.5,2350
Sgr~C_12,3.63,1.81,,2840
Sgr~C_13,1.79,0.90,115.8,4830
Sgr~C_14,2.19,1.09,56.9,2430
Sgr~C_15,5.30,2.65,65.0,1560
Sgr~C_16,0.31,0.15,67.6,1460
Sgr~C_17,0.65,0.33,35.2,1650
Sgr~C_18,1.14,0.57,,1410
Sgr~C_19,1.49,0.74,121.3,1090
Sgr~C_20,9.86,4.93,,2280
Sgr~C_21,0.44,0.22,41.9,1410
Sgr~C_22,9.07,4.54,729.8,4850
Sgr~C_23,0.81,0.41,39.5,1490
Sgr~C_24,1.18,0.59,42.2,1840
Sgr~C_25,3.54,1.77,,2490
Sgr~C_26,9.22,4.61,77.4,2740
Sgr~C_27,0.45,0.23,,1060
Sgr~C_28,0.80,0.40,100.0,2340
Sgr~C_29,0.63,0.32,151.9,2000
Sgr~C_30,0.45,0.23,125.0,1920
Sgr~C_31,0.66,0.33,119.3,2370
Sgr~C_32,1.08,0.54,38.1,2270
Sgr~C_33,,,,1630
Sgr~C_34,0.82,0.41,166.8,2160
Sgr~C_35,0.33,0.17,68.2,1200
Sgr~C_36,0.62,0.31,137.6,2910
Sgr~C_37,0.89,0.45,38.9,1450
Sgr~C_38,0.41,0.20,,1040
Sgr~C_39,0.16,0.08,91.8,1170
Sgr~C_40,1.04,0.52,,1590
Sgr~C_41,2.15,1.07,,1340
Sgr~C_42,1.18,0.59,,1640
Sgr~C_43,1.12,0.56,87.4,1140
Sgr~C_44,1.62,0.81,,1830
Sgr~C_45,0.71,0.35,,1360
Sgr~C_46,0.39,0.20,155.1,1730
Sgr~C_47,1.11,0.56,36.6,1900
Sgr~C_48,0.13,0.07,129.6,1280
Sgr~C_49,0.17,0.09,110.4,1490
Sgr~C_50,1.54,0.77,,1040
Sgr~C_51,1.04,0.52,98.6,2790
Sgr~C_52,10.56,5.28,82.1,3700
Sgr~C_53,1.00,0.50,109.7,2140
Sgr~C_54,0.62,0.31,130.1,1490
Sgr~C_55,4.89,2.44,,2760
Sgr~C_56,0.50,0.25,118.9,1460
Sgr~C_57,0.60,0.30,,1180
Sgr~C_58,0.04,0.02,166.0,1150
Sgr~C_59,3.75,1.88,,2290
Sgr~C_60,1.50,0.75,,1140
Sgr~C_61,1.39,0.69,,1630
Sgr~C_62,18.94,9.47,,1410
Sgr~C_63,4.44,2.22,143.3,2280
Sgr~C_64,11.36,5.68,,2040
Sgr~C_65,2.32,1.16,1241.4,2560
Sgr~C_66,1.19,0.59,,1530
Sgr~C_67,0.36,0.18,183.4,2260
Sgr~C_68,1.59,0.80,,1790
Sgr~C_69,1.16,0.58,,1640
Sgr~C_70,1.07,0.54,,1540
Sgr~C_71,2.87,1.44,,2330
Sgr~C_72,1.33,0.67,,1320
Sgr~C_73,0.58,0.29,,1120
Sgr~C_74,0.37,0.18,69.5,1520
Sgr~C_75,0.31,0.15,69.7,1430
Sgr~C_76,0.74,0.37,,1280
Sgr~C_77,0.18,0.09,63.1,1200
Sgr~C_78,0.09,0.04,97.3,1140
Sgr~C_80,3.79,1.90,,2100
Sgr~C_81,0.69,0.34,,1250
Sgr~C_82,0.39,0.20,,1030
Sgr~C_83,0.60,0.30,,1320
Sgr~C_84,0.42,0.21,,1080
Sgr~C_85,0.10,0.05,111.2,1290
Sgr~C_86,0.49,0.24,,1170
Sgr~C_87,0.49,0.24,,1120
Sgr~C_88,0.57,0.28,,1240
Sgr~C_89,2.17,1.08,,2300
Sgr~C_90,0.50,0.25,142.7,3020
Sgr~C_91,0.42,0.21,,1090
Sgr~C_92,0.11,0.06,102.7,1270
Sgr~C_93,0.16,0.08,106.5,1540
Sgr~C_94,1.83,0.92,,1510
Sgr~C_95,8.91,4.46,,2310
Sgr~C_96,1.34,0.67,,1870
Sgr~C_97,3.75,1.88,106.2,3560
Sgr~C_98,31.37,15.69,,3250
Sgr~C_99,4.99,2.50,,2150
Sgr~C_100,0.79,0.40,,1320
Sgr~C_101,0.09,0.04,113.6,1060
Sgr~C_102,7.29,3.65,,2810
Sgr~C_103,1.62,0.81,,1690
Sgr~C_106,0.23,0.12,53.3,1330
Sgr~C_107,0.54,0.27,,1270
Sgr~C_109,0.42,0.21,,1080
Sgr~C_110,0.71,0.35,,1490
Sgr~C_111,0.52,0.26,166.0,2140
Sgr~C_112,0.82,0.41,,1210
Sgr~C_113,0.15,0.07,90.3,1410
Sgr~C_114,1.50,0.75,,2050
Sgr~C_115,7.17,3.58,129.0,3720
Sgr~C_116,2.55,1.27,,2050
Sgr~C_117,0.62,0.31,,1270
Sgr~C_118,1.97,0.98,,1910
Sgr~C_119,0.80,0.40,43.4,1560
Sgr~C_120,0.27,0.14,36.5,1120
Sgr~C_121,5.44,2.72,171.9,6560
Sgr~C_122,0.98,0.49,,1460
Sgr~C_124,3.82,1.91,,2360
Sgr~C_125,0.74,0.37,,1200
Sgr~C_126,6.96,3.48,,1570
Sgr~C_127,1.12,0.56,82.9,1640
Sgr~C_128,1.31,0.66,104.5,2640
Sgr~C_129,1.45,0.72,110.1,2680
Sgr~C_130,0.10,0.05,126.4,1290
Sgr~C_131,0.13,0.07,84.8,1280
Sgr~C_132,1.53,0.77,,1080
Sgr~C_133,0.78,0.39,,1090
Sgr~C_134,5.55,2.77,30.3,2330
Sgr~C_135,0.14,0.07,81.6,1340
Sgr~C_136,0.80,0.40,,1620
Sgr~C_137,1.67,0.83,58.6,2620
Sgr~C_138,0.07,0.04,94.0,1080
Sgr~C_139,0.32,0.16,81.0,1950
Sgr~C_140,5.38,2.69,,1280
Sgr~C_141,0.12,0.06,79.4,1060
Sgr~C_142,29.24,14.62,,2370
Sgr~C_143,0.75,0.38,65.1,1210
Sgr~C_144,0.87,0.43,110.7,2170
Sgr~C_146,0.61,0.30,107.0,1420
Sgr~C_147,0.25,0.12,79.0,1340
Sgr~C_148,1.09,0.55,50.2,2000
Sgr~C_149,0.13,0.07,148.7,1060
Sgr~C_150,1.51,0.76,120.6,2190
Sgr~C_151,2.37,1.19,,1940
Sgr~C_152,0.35,0.17,77.1,1440
Sgr~C_153,3.73,1.86,111.8,2870
Sgr~C_154,1.82,0.91,,1620
Sgr~C_155,0.14,0.07,71.6,1340
Sgr~C_156,1.12,0.56,72.8,2430
Sgr~C_157,6.32,3.16,,2850
Sgr~C_158,0.68,0.34,80.0,1360
Sgr~C_159,2.61,1.30,,2180
Sgr~C_160,0.05,0.03,177.4,1270
Sgr~C_161,0.49,0.24,108.3,1110
Sgr~C_162,1.39,0.69,343.4,2520
Sgr~C_163,0.44,0.22,,1180
Sgr~C_164,0.43,0.21,,1170
Sgr~C_165,1.79,0.90,182.6,1980
Sgr~C_166,15.52,7.76,,2040
Sgr~C_167,1.88,0.94,,2160
Sgr~C_168,0.06,0.03,95.3,1030
Sgr~C_169,0.06,0.03,212.9,1530
Sgr~C_170,3.76,1.88,,3270
Sgr~C_171,1.95,0.97,,1530
Sgr~C_172,1.71,0.85,,1280
Sgr~C_173,0.65,0.33,144.3,1580
Sgr~C_175,0.22,0.11,94.6,1440
Sgr~C_176,2.64,1.32,,1520
Sgr~C_177,1.81,0.91,121.5,2330
Sgr~C_179,1.72,0.86,39.1,2350
Sgr~C_180,0.32,0.16,,1030
Sgr~C_181,0.51,0.26,,1200
Sgr~C_182,2.13,1.06,107.6,1980
Sgr~C_183,0.60,0.30,477.7,1570
Sgr~C_184,1.08,0.54,36.2,2000
Sgr~C_185,0.50,0.25,58.7,1940
Sgr~C_186,0.61,0.30,,1030
Sgr~C_187,27.90,13.95,,2000
Sgr~C_188,0.92,0.46,90.1,2320
Sgr~C_189,0.54,0.27,,1250
Sgr~C_190,3.28,1.64,,2300
Sgr~C_191,0.90,0.45,,1060
Sgr~C_192,1.23,0.61,,1110
Sgr~C_193,0.34,0.17,,1060
Sgr~C_195,1.21,0.60,106.1,2090
Sgr~C_196,1.50,0.75,237.9,2480
Sgr~C_197,6.16,3.08,,2710
Sgr~C_198,3.46,1.73,,2210
Sgr~C_199,1.13,0.56,,1430
Sgr~C_200,2.31,1.16,,1390
Sgr~C_201,0.41,0.20,,1150
Sgr~C_203,0.86,0.43,,1520
Sgr~C_204,0.35,0.17,48.7,1200
Sgr~C_205,11.91,5.96,,2000
Sgr~C_206,0.20,0.10,42.8,1220
Sgr~C_207,0.35,0.17,,1150
Sgr~C_208,0.49,0.24,,1370
Sgr~C_209,0.73,0.36,,1180
Sgr~C_210,17.46,8.73,,3980
Sgr~C_211,0.05,0.03,136.6,1080
Sgr~C_212,0.35,0.17,44.3,1460
Sgr~C_213,3.19,1.59,,1840
Sgr~C_214,0.48,0.24,,1320
Sgr~C_215,12.53,6.26,,4090
Sgr~C_216,3.12,1.56,43.9,2570
Sgr~C_217,0.98,0.49,,1080
Sgr~C_218,9.61,4.80,,2070
Sgr~C_219,1.94,0.97,38.6,2020
Sgr~C_220,1.08,0.54,62.3,3490
Sgr~C_221,0.19,0.10,109.1,1530
Sgr~C_222,5.93,2.96,,2250
Sgr~C_223,0.42,0.21,30.8,1110
Sgr~C_224,0.49,0.24,66.0,1420
Sgr~C_225,0.20,0.10,100.3,1840
Sgr~C_226,1.07,0.54,,1590
Sgr~C_228,0.09,0.04,62.6,1120
Sgr~C_229,0.74,0.37,,1310
Sgr~C_230,0.45,0.23,,1030
Sgr~C_231,1.45,0.72,47.2,2180
Sgr~C_232,0.21,0.10,193.0,1790
Sgr~C_233,0.57,0.28,,1180
Sgr~C_234,1.05,0.53,,1500
Sgr~C_235,2.08,1.04,84.7,2860
Sgr~C_236,0.77,0.39,32.1,1630
Sgr~C_237,0.97,0.48,90.1,4000
Sgr~C_238,0.90,0.45,,1320
Sgr~C_239,0.60,0.30,65.4,1590
Sgr~C_240,1.00,0.50,112.9,2780
Sgr~C_241,0.40,0.20,131.0,2580
Sgr~C_242,3.78,1.89,,2240
Sgr~C_243,0.82,0.41,,1290
Sgr~C_244,5.30,2.65,,2730
Sgr~C_245,2.47,1.24,,1790
Sgr~C_246,0.90,0.45,,1250
Sgr~C_247,17.66,8.83,,3340
Sgr~C_248,11.04,5.52,,2410
Sgr~C_249,0.37,0.18,,1170
Sgr~C_250,0.27,0.14,83.6,1040
Sgr~C_251,0.32,0.16,103.0,1240
Sgr~C_252,2.28,1.14,,1500
Sgr~C_253,4.22,2.11,,1940
Sgr~C_254,0.33,0.17,,1040
Sgr~C_255,0.54,0.27,,1030
Sgr~C_256,3.38,1.69,,2270
Sgr~C_257,0.83,0.41,,1390
Sgr~C_258,0.46,0.23,,1040
Sgr~C_259,1.06,0.53,,1390
Sgr~C_260,1.54,0.77,,1720
Sgr~C_261,7.57,3.79,,2190
Sgr~C_262,0.77,0.39,,1120
Sgr~C_263,3.44,1.72,,1760
Sgr~C_264,0.34,0.17,210.0,1720
Sgr~C_265,9.38,4.69,,2030
Sgr~C_266,3.29,1.65,130.7,2580
Sgr~C_267,1.12,0.56,,1360
Sgr~C_268,1.84,0.92,96.5,2760
Sgr~C_269,1.67,0.83,,1590
Sgr~C_270,1.58,0.79,,1790
Sgr~C_271,0.55,0.28,96.7,2270
Sgr~C_272,0.80,0.40,,1150
Sgr~C_273,5.61,2.81,,2250
Sgr~C_274,0.25,0.12,88.8,1320
20kms~cloud_1,0.71,0.35,,1290
20kms~cloud_2,0.36,0.18,,1040
20kms~cloud_3,0.51,0.26,,1240
20kms~cloud_4,0.55,0.28,,1330
20kms~cloud_5,0.52,0.26,,1360
20kms~cloud_6,0.21,0.10,101.5,1720
20kms~cloud_7,0.42,0.21,,1200
20kms~cloud_8,0.21,0.10,61.2,1790
20kms~cloud_9,0.71,0.35,,1590
20kms~cloud_10,0.46,0.23,,1290
20kms~cloud_11,0.44,0.22,,1240
20kms~cloud_12,1.04,0.52,,1860
20kms~cloud_13,1.15,0.57,,2060
20kms~cloud_14,0.93,0.47,,1830
20kms~cloud_15,0.38,0.19,,1180
20kms~cloud_16,0.35,0.17,,1120
20kms~cloud_17,11.17,5.58,,2950
20kms~cloud_18,0.52,0.26,,1250
20kms~cloud_19,0.12,0.06,90.0,4490
20kms~cloud_20,0.66,0.33,,1480
20kms~cloud_21,0.46,0.23,,1180
20kms~cloud_22,5.78,2.89,,2370
20kms~cloud_23,0.33,0.17,,1060
20kms~cloud_24,0.66,0.33,,1330
20kms~cloud_25,1.02,0.51,,1120
20kms~cloud_26,5.83,2.92,,3710
20kms~cloud_27,0.51,0.26,,1310
20kms~cloud_28,0.45,0.23,111.2,1630
20kms~cloud_29,0.50,0.25,109.6,2830
20kms~cloud_30,0.07,0.04,173.9,1560
20kms~cloud_31,0.32,0.16,76.4,2250
20kms~cloud_32,0.34,0.17,112.1,2060
20kms~cloud_33,0.38,0.19,,1030
20kms~cloud_34,0.13,0.07,75.9,1490
20kms~cloud_35,4.03,2.02,94.9,3440
20kms~cloud_36,0.83,0.41,,1320
20kms~cloud_38,0.05,0.03,99.8,1140
20kms~cloud_39,1.56,0.78,99.3,3420
20kms~cloud_40,0.66,0.33,,1150
20kms~cloud_41,0.56,0.28,,1030
20kms~cloud_42,0.55,0.28,,1370
20kms~cloud_43,1.10,0.55,88.5,2260
20kms~cloud_44,0.49,0.24,,1090
20kms~cloud_45,3.17,1.58,,3000
20kms~cloud_46,0.66,0.33,,1040
20kms~cloud_47,0.44,0.22,,1150
20kms~cloud_48,0.59,0.29,,1120
20kms~cloud_50,0.27,0.14,157.0,1650
20kms~cloud_51,0.43,0.21,,1150
20kms~cloud_52,1.39,0.69,49.2,2920
20kms~cloud_53,8.33,4.17,,2880
20kms~cloud_54,0.91,0.46,,1490
20kms~cloud_55,0.14,0.07,166.3,1710
20kms~cloud_56,0.73,0.36,68.5,3020
20kms~cloud_57,0.55,0.28,,1090
