ID,Mcore,err_Mcore,Tcore,Size
1,14.20,7.40,33.0,1335
2,6.94,3.63,30.3,913
3,10.44,5.50,19.3,1309
4,8.30,4.35,22.5,1137
5,8.00,4.20,20.7,1560
6,8.68,4.57,18.5,1464
7,8.39,4.40,24.4,1816
8,7.18,3.77,20.0,1282
9,4.93,2.60,19.5,1211
10,4.12,2.17,18.6,1579
11,4.03,2.12,20.1,1543
12,3.98,2.10,17.9,1112
13,3.96,2.09,19.9,1641
14,4.23,2.24,14.0,913
15,8.36,4.40,24.0,2727
16,3.92,2.07,18.8,2484
17,3.03,1.60,19.9,1869
18,2.16,1.13,25.2,1805
19,1.80,0.95,18.0,913
20,2.52,1.32,20.0,1904
21,1.83,0.97,19.4,1234
22,2.40,1.27,19.3,1460
23,2.39,1.27,23.8,2047
24,2.13,1.12,26.2,2093
25,3.39,1.79,22.8,2624
26,2.58,1.38,21.9,1622
27,1.88,1.00,20.0,1221
28,2.22,1.17,20.3,1830
29,1.58,0.84,20.7,1341
30,3.32,1.77,13.5,1722
31,1.78,0.95,14.0,913
32,2.24,1.18,20.0,1478
33,2.11,1.14,32.4,3356
34,3.16,1.68,19.4,2383
35,1.34,0.71,19.3,1362
36,1.15,0.61,19.1,1105
37,1.27,0.67,20.0,1218
38,0.83,0.49,32.1,1660
39,1.59,0.84,26.3,2388
40,2.34,1.24,20.2,2686
41,1.32,0.78,23.1,1747
42,1.31,0.73,23.9,1543
43,1.51,0.80,17.9,1334
44,1.22,0.65,13.3,913
45,3.46,1.88,23.1,3680
46,0.88,0.47,18.3,913
47,1.50,0.80,13.4,1169
48,2.18,1.15,21.5,2230
49,1.37,0.73,19.5,2078
50,0.87,0.47,21.4,1865
51,2.84,1.51,14.0,2228
52,0.97,0.52,17.1,1069
53,4.12,2.18,23.8,3443
54,1.91,1.01,20.6,3052
55,1.75,0.94,14.7,2182
56,1.25,0.66,25.4,2543
57,1.51,0.81,13.5,1261
58,0.71,0.38,23.1,1156
59,0.97,0.52,16.7,1315
60,1.36,0.72,16.7,2187
61,1.11,0.60,20.5,1971
62,1.20,0.65,20.4,2488
63,0.73,0.38,19.3,1066
64,1.02,0.55,19.5,1944
65,1.47,0.78,22.6,2806
66,1.42,0.76,14.9,1599
67,0.85,0.45,18.4,1367
68,0.97,0.52,32.5,2179
69,0.88,0.47,19.7,1518
70,0.88,0.47,19.5,1380
71,1.15,0.62,13.4,1536
72,1.08,0.57,20.8,2193
73,0.34,0.27,31.2,1432
74,1.25,0.66,16.8,2555
75,1.17,0.67,22.6,1934
76,1.63,0.88,30.3,2941
77,1.18,0.68,32.1,3663
78,0.78,0.41,14.6,1122
79,1.05,0.56,20.9,3617
80,1.51,0.81,18.3,6020
81,0.39,0.21,23.7,913
82,1.18,0.63,19.8,2124
83,0.85,0.49,20.3,1712
84,0.78,0.42,18.6,1490
85,1.80,0.96,13.3,5146
86,1.53,0.81,21.9,4697
87,1.01,0.54,16.7,1859
88,1.06,0.58,22.2,1987
89,1.11,0.60,20.0,2176
90,0.56,0.37,23.1,1575
91,0.72,0.38,18.7,1775
92,1.16,0.62,24.0,3403
93,1.18,0.64,19.8,1849
94,0.74,0.40,13.5,1138
95,0.79,0.42,20.1,2038
96,1.53,0.83,23.2,2729
97,0.44,0.24,18.5,913
98,1.39,0.75,16.0,5661
99,1.32,0.70,20.6,4817
100,0.82,0.45,31.4,3599
101,0.55,0.31,19.5,1330
102,1.05,0.60,31.1,2572
103,0.72,0.42,31.4,2876
104,0.92,0.49,16.7,2054
105,0.48,0.26,20.0,1035
106,2.10,1.14,19.7,4153
107,0.77,0.42,22.2,2563
108,0.97,0.52,13.8,1640
109,0.52,0.28,20.1,1626
110,0.27,0.17,25.0,913
111,0.52,0.29,22.4,2286
112,0.65,0.38,23.0,2887
113,1.08,0.58,14.7,2179
114,0.46,0.25,23.7,1469
115,1.09,0.67,24.3,2378
116,0.80,0.42,18.2,2826
117,0.40,0.24,19.1,1620
118,1.17,0.66,24.5,2778
119,0.79,0.42,18.4,2477
120,0.75,0.42,19.8,1034
121,0.62,0.33,17.7,1771
122,0.18,0.13,25.6,913
123,0.86,0.46,18.0,2078
124,1.05,0.56,14.7,1729
125,0.46,0.25,18.3,1627
126,0.59,0.32,20.6,2577
127,0.58,0.31,20.5,2172
128,0.52,0.28,25.0,3371
129,0.80,0.47,19.5,2353
130,1.12,0.59,22.5,5012
131,0.36,0.22,24.7,1894
132,0.49,0.27,18.5,1499
133,0.63,0.46,23.5,913
134,0.71,0.38,21.4,4824
135,0.59,0.32,19.9,913
136,0.50,0.27,19.2,1781
137,0.48,0.27,19.3,2664
138,0.39,0.21,14.5,913
139,0.38,0.22,25.4,2069
140,0.86,0.46,19.5,6908
141,0.30,0.18,30.3,1317
142,0.67,0.36,19.4,2582
143,0.20,0.18,19.1,913
144,0.42,0.22,20.5,1959
145,1.10,0.58,20.1,4975
146,0.36,0.22,19.7,1015
147,0.43,0.23,22.8,5881
148,0.41,0.23,13.9,1353
149,0.25,0.14,21.9,1162
150,0.31,0.19,22.9,1041
151,0.34,0.18,18.4,1537
152,0.29,0.16,20.6,989
153,0.22,0.12,21.2,916
154,0.55,0.30,19.1,1375
155,0.24,0.14,20.7,941
156,0.27,0.15,25.2,1611
157,0.33,0.18,17.1,1385
158,0.25,0.14,13.3,958
159,0.37,0.20,21.7,2630
160,0.42,0.25,18.3,2666
161,0.25,0.14,22.7,1129
162,0.59,0.31,28.9,3083
163,0.40,0.22,17.3,1821
164,0.65,0.36,21.3,5273
165,0.16,0.09,27.3,913
166,0.41,0.22,23.5,3203
167,0.30,0.18,19.8,2571
168,0.18,0.11,19.0,913
169,0.32,0.18,19.6,1527
170,0.32,0.17,22.3,1664
171,0.40,0.22,29.5,3649
172,0.12,0.06,25.6,913
173,0.76,0.41,30.6,2855
174,0.35,0.20,16.5,1310
175,0.19,0.12,20.5,913
176,0.17,0.10,22.4,913
177,0.44,0.24,20.5,2373
178,0.37,0.21,18.1,1593
179,0.54,0.31,21.4,2074
180,0.56,0.32,20.0,1989
181,0.30,0.17,17.7,1673
182,0.32,0.18,20.0,1874
183,0.25,0.14,20.1,1264
184,0.16,0.10,25.7,1435
185,0.27,0.16,21.2,1028
186,0.33,0.19,20.6,2323
187,0.33,0.19,20.1,1148
188,0.18,0.10,23.0,1749
189,0.07,0.06,22.7,913
190,0.73,0.46,19.2,4493
191,0.15,0.11,21.5,913
192,0.35,0.20,22.8,2149
193,0.98,0.52,20.2,6436
194,0.38,0.21,18.5,1902
195,0.29,0.16,20.9,1453
196,0.40,0.21,20.5,1741
197,0.37,0.22,21.2,7373
198,0.20,0.14,19.6,7236
199,0.36,0.20,21.2,2229
200,0.32,0.17,15.6,953
201,1.33,0.71,16.4,7064
202,0.49,0.27,20.7,2141
203,0.36,0.20,13.4,1328
204,0.13,0.09,17.2,2643
205,0.56,0.30,19.7,3521
206,0.63,0.36,19.2,2518
207,1.22,0.65,17.1,5118
208,0.84,0.45,19.7,6647
209,0.52,0.28,20.6,2489
210,0.35,0.20,19.2,913
211,0.74,0.40,18.9,2587
212,0.26,0.15,18.2,1424
213,0.48,0.29,31.2,8328
214,0.53,0.29,20.8,2601
215,0.20,0.12,20.1,1148
216,0.55,0.31,19.0,1812
217,0.84,0.47,18.9,4352
218,0.29,0.16,22.5,2662
219,0.38,0.23,19.9,1783
220,0.45,0.25,18.2,1915
221,0.80,0.44,13.6,5113
222,0.33,0.18,21.3,2677
223,0.44,0.24,20.7,4131
224,0.27,0.16,19.7,1953
225,0.93,0.50,18.0,4613
226,0.25,0.14,20.7,3717
227,1.29,0.70,22.8,3131
228,0.19,0.11,24.3,1516
229,0.85,0.46,20.2,4655
230,0.30,0.16,21.6,3878
231,0.42,0.23,19.8,2564
