ID,Mcore,err_Mcore,Tcore,Size
1,2.60,1.30,36.7,2387
2,4.40,2.20,36.7,3200
3,1.70,0.85,36.7,2150
4,3.80,1.90,36.7,3200
5,23.88,11.94,36.7,3200
6,1.10,0.55,36.7,2150
7,5.79,2.90,36.7,3200
8,21.28,10.64,36.7,3200
9,9.09,4.54,36.7,2993
10,11.89,5.95,36.7,2939
11,9.79,4.89,36.7,3200
12,12.19,6.09,36.7,3200
13,4.50,2.25,36.7,3098
14,12.69,6.34,36.7,2828
15,113.49,56.74,36.7,3150
16,16.18,8.09,36.7,2623
17,23.98,11.99,36.7,2857
18,16.48,8.24,36.7,3200
19,12.09,6.04,36.7,3200
20,40.86,20.43,36.7,3200
21,3.90,1.95,36.7,2713
22,19.48,9.74,36.7,2683
23,13.79,6.89,36.7,3200
24,9.69,4.84,36.7,3200
25,35.77,17.89,36.7,3200
26,10.69,5.34,36.7,2623
27,13.39,6.70,36.7,3200
28,11.49,5.75,36.7,3200
29,9.59,4.79,36.7,3200
30,8.39,4.20,36.7,3200
31,12.09,6.04,36.7,2602
32,16.78,8.39,36.7,3250
33,3.50,1.75,36.7,2295
34,8.09,4.04,36.7,3250
35,10.79,5.39,36.7,3250
36,2.40,1.20,36.7,2175
37,8.09,4.04,36.7,3250
38,0.40,0.20,36.7,2150
39,2.20,1.10,36.7,2643
40,5.20,2.60,36.7,3250
41,3.90,1.95,36.7,2879
42,8.19,4.09,36.7,2850
43,5.69,2.85,36.7,3250
44,3.80,1.90,36.7,3250
45,15.39,7.70,36.7,3250
46,61.94,30.97,36.7,3122
47,11.29,5.64,36.7,2704
48,18.78,9.39,36.7,3250
49,40.86,20.43,36.7,3017
50,4.20,2.10,36.7,2248
51,14.09,7.04,36.7,3250
52,17.78,8.89,36.7,3250
53,6.29,3.15,36.7,2643
54,5.10,2.55,36.7,2643
55,7.79,3.90,36.7,2764
56,7.89,3.94,36.7,2822
57,13.49,6.75,36.7,3250
58,3.60,1.80,36.7,3250
59,60.04,30.02,36.7,2538
60,7.39,3.69,36.7,2879
61,16.78,8.39,36.7,2879
62,21.38,10.69,36.7,3250
63,8.79,4.39,36.7,3250
64,3.50,1.75,36.7,2432
65,5.69,2.85,36.7,3250
66,10.89,5.45,36.7,3250
67,11.59,5.79,36.7,3250
68,3.50,1.75,36.7,2643
69,5.39,2.69,36.7,2857
70,15.68,7.84,36.7,3250
71,7.69,3.85,36.7,3250
