ID,Mcore,err_Mcore,Tcore,Size
I08303-4303_1,1.39,0.69,100.0,1168
I08303-4303_2,1.22,0.61,30.0,388
I08303-4303_3,0.47,0.24,100.0,625
I08303-4303_4,0.91,0.46,30.0,388
I08303-4303_5,0.23,0.12,100.0,552
I08303-4303_6,0.18,0.09,30.0,388
I08303-4303_7,0.33,0.17,30.0,970
I08303-4303_8,0.15,0.08,20.0,388
I08303-4303_9,0.62,0.31,30.0,4221
I08303-4303_10,0.12,0.06,100.0,1420
I08303-4303_11,0.08,0.04,30.0,388
I08303-4303_12,0.14,0.07,30.0,388
I08303-4303_13,0.42,0.21,30.0,918
I08303-4303_14,0.06,0.03,30.0,459
I08303-4303_15,0.24,0.12,30.0,1763
I08448-4343_1,1.19,0.59,30.0,266
I08448-4343_2,0.09,0.04,100.0,200
I08448-4343_3,0.13,0.07,100.0,459
I08448-4343_4,0.30,0.15,20.0,200
I08448-4343_5,0.14,0.07,30.0,242
I08448-4343_6,0.15,0.07,30.0,200
I08448-4343_7,0.13,0.06,30.0,244
I08448-4343_8,0.03,0.01,100.0,200
I08448-4343_9,0.12,0.06,30.0,200
I08448-4343_10,0.12,0.06,30.0,200
I08448-4343_11,0.12,0.06,20.0,200
I08448-4343_12,0.14,0.07,30.0,260
I08448-4343_13,0.24,0.12,30.0,506
I08448-4343_14,0.11,0.06,30.0,210
I08448-4343_15,0.09,0.05,30.0,200
I08448-4343_16,0.12,0.06,30.0,241
I08448-4343_17,0.21,0.11,30.0,924
I08448-4343_18,0.10,0.05,30.0,226
I08448-4343_19,0.07,0.04,30.0,277
I08448-4343_20,0.09,0.05,30.0,423
I08448-4343_21,0.17,0.09,30.0,798
I08448-4343_22,0.04,0.02,30.0,200
I08448-4343_23,0.03,0.01,30.0,200
I08448-4343_24,0.02,0.01,30.0,200
I08448-4343_25,0.03,0.02,30.0,200
I08448-4343_26,0.02,0.01,30.0,200
I08448-4343_27,0.06,0.03,30.0,650
I08448-4343_28,0.07,0.04,20.0,1081
I08448-4343_29,0.02,0.01,30.0,433
I08448-4343_30,0.02,0.01,30.0,200
I08448-4343_31,0.03,0.02,30.0,550
I08448-4343_32,0.03,0.01,30.0,480
I08448-4343_33,0.02,0.01,30.0,200
I08448-4343_34,0.04,0.02,30.0,549
I08448-4343_35,0.04,0.02,30.0,1237
I08448-4343_36,0.02,0.01,30.0,373
I08470-4243_1,3.52,1.76,100.0,712
I08470-4243_2,1.45,0.72,30.0,366
I08470-4243_3,1.77,0.89,30.0,605
I08470-4243_4,0.36,0.18,30.0,366
